elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
1.9954e-5,0,0,1,0.01689531624479761
0.405371,2601,96,11,0.014663781396347367
0.406992,4043,159,21,0.015062823700563431
0.416291,5142,212,31,0.013510889003222322
0.41697,6239,265,41,0.01210692976259319
0.417614,7363,319,51,0.010466089236810427
0.418264,8519,373,61,0.00960749105494024
0.419309,9502,423,71,0.00898612361294143
0.420636,10484,473,81,0.008255200289113068
0.421765,11457,523,91,0.007575203405213293
0.422899,12449,573,101,0.00650708005728454
0.424222,13425,623,111,0.006374716853143357
0.425328,14397,673,121,0.006227013347329844
0.426687,15466,725,131,0.006091490187704456
0.427789,16436,775,141,0.005932012294380638
0.428908,17425,825,151,0.00573922078097671
0.430288,18480,877,161,0.005520284801660568
0.43528,19496,927,171,0.005384062834999074
0.435889,20527,977,181,0.005252040019644643
0.436492,21543,1027,191,0.005124503873424269
0.437108,22545,1077,201,0.00469069338004411
0.437712,23575,1127,211,0.004312504798204818
0.438303,24548,1177,221,0.0040625432536525365
0.438919,25594,1229,231,0.0038013679537478653
0.43951,26571,1279,241,0.003526522977527183
0.440097,27544,1329,251,0.003253059552917799
0.440698,28581,1379,261,0.003019471954569475
0.4413,29630,1429,271,0.002973943126810815
0.441896,30660,1479,281,0.002998138467721881
0.442499,31696,1529,291,0.0029036828580355153
0.443104,32658,1579,301,0.0028651008206075183
0.444063,33610,1629,311,0.002811333329825836
0.44466,34606,1679,321,0.0026966740534441966
0.445255,35598,1729,331,0.0026316713840065526
0.445848,36624,1779,341,0.00258313307574861
0.446435,37649,1829,351,0.002539136724149852
0.447049,38733,1880,361,0.0024765262725709846
0.447651,39751,1930,371,0.002437798806211351
0.448246,40774,1980,381,0.002378614689926388
0.448838,41783,2030,391,0.002330501430454152
0.449433,42739,2080,401,0.0023223873548802124
0.450018,43668,2130,411,0.0022241370985701236
0.450613,44652,2180,421,0.002203277848846122
0.451198,45596,2230,431,0.002173787942513576
0.451793,46591,2280,441,0.002116164942474453
0.452668,47633,2330,451,0.0020504746088687315
0.453263,48661,2380,461,0.002018412723901292
0.453843,49640,2430,471,0.0019932652096586283
0.454417,50587,2480,481,0.0019275631692975363
0.454991,51577,2530,491,0.0019230650159171754
0.455571,52514,2580,501,0.001857272703757254
0.456149,53550,2630,511,0.0018155172925455997
0.456741,54582,2680,521,0.0017862444106340261
0.457334,55596,2731,531,0.0017583351447420566
0.457918,56601,2781,541,0.001740789352371491
0.458501,57561,2831,551,0.0017442149375130056
0.459088,58569,2881,561,0.0016961611661884084
0.459681,59598,2931,571,0.001656737933337555
0.460266,60579,2981,581,0.0016426204512362333
0.461143,61620,3031,591,0.001630059204071015
0.461733,62606,3081,601,0.0015848126681397776
0.462315,63595,3131,611,0.0015716157333490778
0.462894,64586,3181,621,0.0015650071243547923
0.463476,65621,3231,631,0.001523472093027058
0.464056,66651,3281,641,0.0014994835851954661
0.464689,67696,3331,651,0.0014964626917133798
0.465299,68682,3381,661,0.0014529480637820863
