elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
2.0481e-5,0,0,1,0.01689531624479761
0.398859,14487,14487,11,0.007470523797285938
0.43794,22496,22496,21,0.004923893418808464
0.469017,28761,28761,31,0.0037544309164276504
0.495844,34202,34202,41,0.0030832361334494594
0.520233,39047,39047,51,0.0026309436769490664
0.541845,43421,43421,61,0.0023038217354115435
0.559442,46948,46948,71,0.0020555044785591885
0.576781,50439,50439,81,0.0018647606020344987
0.592088,53481,53481,91,0.001720748343295126
0.607344,56492,56492,101,0.0016043150326601942
0.620677,59260,59260,111,0.0015050736401712294
0.634469,61967,61967,121,0.0014326186769005843
0.647943,64623,64623,131,0.0013757401154363118
0.659766,66936,66936,141,0.001323807323978592
0.671578,69371,69371,151,0.0012747572084755125
0.683172,71616,71616,161,0.0012282117641184039
0.694815,73869,73869,171,0.0011849111358550914
0.705542,76072,76072,181,0.0011488450769758032
0.716858,78307,78307,191,0.001118510847367079
0.727384,80485,80485,201,0.0010885544239258166
0.737878,82494,82494,211,0.001058074592053631
0.748263,84476,84476,221,0.0010286465081577843
0.758218,86500,86500,231,0.0010008008729824342
0.768568,88462,88462,241,0.0009739266014135509
0.777661,90336,90336,251,0.0009501428870771472
0.787024,92132,92132,261,0.0009269038352798797
0.796226,94046,94046,271,0.0009038557700055804
0.805229,95755,95755,281,0.0008813784346684422
0.813897,97524,97524,291,0.0008597836376473423
0.823713,99419,99419,301,0.0008383875919506425
0.832173,101177,101177,311,0.0008177305327043329
0.840626,102805,102805,321,0.0007987220875015164
0.848854,104508,104508,331,0.0007805375769998849
0.857235,106109,106109,341,0.0007617283811740556
0.864567,107630,107630,351,0.0007438316466362067
0.872396,109112,109112,361,0.0007287981100785549
0.88045,110778,110778,371,0.0007157101140345228
0.888173,112367,112367,381,0.0007026463821926815
0.896208,113893,113893,391,0.0006920398980735498
0.903469,115384,115384,401,0.0006813008255551044
0.91124,116839,116839,411,0.0006700733577657703
0.918159,118259,118259,421,0.0006584686279485739
0.925926,119714,119714,431,0.0006467314144330705
0.933064,121188,121188,441,0.0006352541712172609
0.940003,122621,122621,451,0.000624480717856481
0.947629,124054,124054,461,0.0006137473935270022
0.954275,125423,125423,471,0.0006027363155436637
0.961676,126820,126820,481,0.0005914859927875424
0.968468,128226,128226,491,0.0005802641941241183
0.974842,129538,129538,501,0.0005691732350719819
0.982283,130900,130900,511,0.0005611824727595662
0.989008,132267,132267,521,0.00055422750486008
0.99556,133595,133595,531,0.000547142087402518
1.00279,134901,134901,541,0.000540000784999304
1.00952,136280,136280,551,0.0005336740785526709
1.01655,137551,137551,561,0.000527217396668651
1.02316,138902,138902,571,0.0005206462813309044
1.02955,140197,140197,581,0.000513973934225441
1.03685,141485,141485,591,0.0005086935563560682
1.04348,142814,142814,601,0.0005037147445535167
1.0501,144149,144149,611,0.0004983382861262209
1.05709,145395,145395,621,0.0004927996919085291
1.06339,146671,146671,631,0.0004874781145423855
1.0703,147899,147899,641,0.00048235506116287713
1.07658,149178,149178,651,0.0004773047424267117
1.08264,150422,150422,661,0.0004717514370756199
1.08943,151658,151658,671,0.0004662072048281819
1.0957,152941,152941,681,0.0004604460659790432
1.10191,154180,154180,691,0.00045451964348786934
1.1085,155367,155367,701,0.00044837909802675907
1.11428,156534,156534,711,0.0004423086301218789
1.12019,157733,157733,721,0.0004361522489848644
1.12706,158967,158967,731,0.00043012262285993877
1.13303,160167,160167,741,0.00042401657061769474
1.13882,161336,161336,751,0.0004178564009176249
1.14532,162510,162510,761,0.0004115017997194121
1.15119,163697,163697,771,0.0004058163784563633
1.15669,164815,164815,781,0.0004002383639122569
1.16312,165961,165961,791,0.00039514707121202954
1.16879,167100,167100,801,0.00039074978964875016
1.17453,168265,168265,811,0.0003863950918037533
1.18077,169400,169400,821,0.0003827377304544497
1.18616,170504,170504,831,0.0003789013212205823
1.19141,171584,171584,841,0.0003751597357565268
1.19769,172738,172738,851,0.00037190521518607605
1.20319,173869,173869,861,0.0003685743238754542
1.20847,174953,174953,871,0.00036537203838454303
1.21439,176060,176060,881,0.0003623132563587636
1.21972,177161,177161,891,0.00035899951210053606
1.22498,178240,178240,901,0.00035618819763780923
1.23035,179344,179344,911,0.000353847338003822
1.23612,180409,180409,921,0.000351171081989312
1.24123,181464,181464,931,0.0003484144329676149
1.24648,182549,182549,941,0.0003454005803750198
1.25226,183620,183620,951,0.00034232761548560336
1.25725,184649,184649,961,0.00033946877293780826
1.26214,185655,185655,971,0.00033653896829245744
1.26781,186685,186685,981,0.00033356688608072484
1.27284,187717,187717,991,0.0003304137678447564
1.27816,188811,188811,1001,0.0003273584629877799
1.28317,189810,189810,1011,0.00032416805107459735
1.28873,190803,190803,1021,0.0003209434547986473
1.29366,191802,191802,1031,0.00031754534676235215
1.29885,192831,192831,1041,0.00031415412068659145
1.30455,193841,193841,1051,0.00031065277712234024
