elapsed_time(s),inner_steps,outer_steps,pd_gap
1.9234e-5,0,1,0.01689531624479761
8.47957,1608580,11,0.011419354087655674
10.4168,2012725,21,0.008805303329544328
12.3563,2412515,31,0.007227907700810388
14.2691,2803611,41,0.006165384226728927
16.1067,3174619,51,0.005426276437462373
17.7683,3507852,61,0.0048788610364965766
19.3949,3830417,71,0.00443616719093096
20.8576,4127557,81,0.004079530427237075
22.2346,4399167,91,0.0037814673207351972
23.5572,4659225,101,0.0035265563309631164
24.8206,4903920,111,0.0033146806893891018
26.0334,5141477,121,0.0031315811287345487
27.2239,5374893,131,0.0029723490744311045
28.4849,5620355,141,0.0028312418503711016
29.6968,5857147,151,0.0027036953113895174
30.8973,6092498,161,0.0025899286655221287
32.09,6321430,171,0.0024863691723710658
33.1962,6537271,181,0.002391544744867897
34.2927,6748190,191,0.002303886539502269
35.3157,6945502,201,0.002223235879995863
36.4179,7160411,211,0.0021492613808860635
37.4852,7367477,221,0.0020802004972335347
38.5756,7577516,231,0.0020163413483008496
39.6603,7786048,241,0.0019588426377810247
40.7182,7990769,251,0.001905392079742706
41.6835,8178563,261,0.0018552001820773944
42.6337,8362273,271,0.001808133101741322
43.7364,8574788,281,0.0017634096466823419
44.6906,8759820,291,0.0017211378124943385
45.7129,8957920,301,0.0016855886286461577
46.6042,9128765,311,0.0016519759000133555
47.5369,9308036,321,0.0016198934445620337
48.4431,9481612,331,0.001589446067769236
49.3335,9651054,341,0.0015602341862511904
50.232,9821402,351,0.001532446494888184
51.1577,9996815,361,0.0015054292757455522
52.0576,10166921,371,0.001479384212127309
52.9076,10331047,381,0.0014571197012976985
53.7824,10496234,391,0.0014363857614201822
54.6449,10659331,401,0.001417373710219787
55.4708,10814829,411,0.0014010459604682658
56.3135,10971764,421,0.001384877129084446
57.1688,11132591,431,0.0013695393627312959
58.0417,11294476,441,0.0013552048165967664
58.8616,11448226,451,0.0013411021468968509
59.6326,11592956,461,0.0013273077417800937
60.4482,11746647,471,0.0013138912735969847
61.2304,11894200,481,0.0013006315066492018
61.9934,12037595,491,0.0012876081737521316
62.7873,12186969,501,0.0012747525360929622
63.5538,12329387,511,0.001262170022747245
64.2911,12467627,521,0.0012497373821775352
64.9971,12600179,531,0.0012374738400060085
65.7329,12739375,541,0.0012253011689554276
66.4595,12874276,551,0.001213397740801139
67.1573,13001136,561,0.001201475532752426
67.8525,13130821,571,0.0011897486297362796
68.5492,13262020,581,0.0011782285706491945
69.2721,13396488,591,0.0011670589899626313
69.975,13525257,601,0.0011561412052888635
70.6443,13650882,611,0.0011462084456995234
71.3208,13776936,621,0.0011370421575280128
71.96,13896851,631,0.0011278725069325864
72.5955,14015941,641,0.0011191282456089382
73.2319,14135042,651,0.0011121240030083062
73.8811,14256078,661,0.001105098655587583
74.4997,14369568,671,0.0010979258303595793
75.155,14489647,681,0.001090882821677788
75.8161,14607382,691,0.0010837290303606154
76.4408,14722333,701,0.0010764363803229312
77.0434,14834050,711,0.0010691063935447907
77.6526,14947986,721,0.0010617436601197457
78.2647,15061288,731,0.0010542839390772062
78.8689,15170826,741,0.0010468142923040161
79.4763,15282684,751,0.001039266160603361
80.0597,15391754,761,0.0010316953780835896
80.6328,15498946,771,0.0010242439422668923
81.2109,15607829,781,0.0010168102494989423
81.7939,15714155,791,0.001009273793573377
82.3574,15819129,801,0.001001891285282561
82.9276,15926459,811,0.0009947885431421128
83.5062,16034205,821,0.0009880934737596398
84.0783,16140850,831,0.000981285746675416
84.6544,16247201,841,0.00097446220996294
85.2339,16353323,851,0.0009676174064432649
85.8158,16459810,861,0.0009608481359208165
86.3791,16563403,871,0.0009539704218031828
86.9434,16666760,881,0.0009471211687304693
87.5059,16770824,891,0.0009402729299705318
88.0527,16872403,901,0.000933341170285094
88.6185,16977331,911,0.0009263525718741158
