elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
287.351,49009562,115821,1191,0.0002816169840691371
288.903,49267153,116654,1201,0.00028014379895602466
290.489,49530832,117496,1211,0.00027854636616170964
291.92,49769403,118301,1221,0.0002768200905117011
293.363,50009965,119121,1231,0.0002750175876263753
294.971,50273283,119960,1241,0.00027351826983868996
296.386,50507229,120770,1251,0.00027199188342567383
297.885,50749781,121585,1261,0.0002703773009464089
299.431,50993785,122393,1271,0.0002687174482918619
300.855,51229247,123199,1281,0.0002672913965413269
302.388,51478505,124029,1291,0.00026587836769709043
303.856,51717566,124833,1301,0.0002643988380903444
305.28,51952015,125640,1311,0.00026285589926045363
306.762,52193044,126453,1321,0.0002612763677037871
308.488,52448901,127295,1331,0.00025969483206867913
309.783,52689618,128119,1341,0.0002585982353445239
311.097,52931497,128931,1351,0.00025762342950287793
312.376,53165654,129743,1361,0.00025663554561651883
313.644,53396273,130537,1371,0.0002558226134419979
314.941,53632316,131356,1381,0.0002549664213645046
316.247,53868559,132168,1391,0.00025409915566819256
317.569,54106751,132987,1401,0.0002535424559555761
318.834,54335642,133793,1411,0.0002529214347514689
320.102,54563862,134593,1421,0.0002522477852421774
321.39,54795500,135393,1431,0.0002514927856994021
322.668,55022704,136193,1441,0.00025064943003042135
324.02,55259255,136992,1451,0.0002497011500564618
325.27,55479789,137779,1461,0.0002486680102511598
326.544,55704984,138569,1471,0.0002475608480469321
327.798,55925793,139366,1481,0.0002463809523893506
329.068,56148875,140159,1491,0.0002451195750251961
330.297,56364207,140937,1501,0.0002437422205984266
331.497,56574059,141714,1511,0.00024228987972283768
332.751,56792786,142492,1521,0.00024081182065123843
334.027,57012414,143279,1531,0.0002392794674481516
335.311,57234341,144073,1541,0.00023767926557072966
336.56,57448651,144836,1551,0.0002359761795953201
337.86,57672063,145622,1561,0.00023422301121469452
339.107,57886708,146389,1571,0.00023240015808072452
340.404,58102757,147165,1581,0.0002305116609486995
341.599,58304363,147922,1591,0.00022856201822444612
342.804,58511710,148681,1601,0.00022654598038300382
344.076,58729563,149456,1611,0.00022450232799122415
345.336,58946712,150237,1621,0.0002224283782173101
346.613,59164710,151029,1631,0.0002203294268735799
347.874,59380431,151807,1641,0.00021849756944507769
349.154,59601004,152596,1651,0.00021670258981057802
350.344,59804667,153353,1661,0.0002150644779126791
